A new study created in memory with name: HYPERPARAMETER OPTIMIZATION WITH OPTUNA: binary_7_9 - Accuracy - n_epochs, batch_size, hidden_layers, neurons_per_layer, learning_rate - {'batch_size': [8, 16, 32], 'neurons_per_layer': [16, 32, 64, 128, 256, 512], 'hidden_layers': [1, 2, 3, 4], 'n_epochs': [10, 30, 50, 80, 100], 'learning_rate': [1e-05, 0.0001, 0.001, 0.01]}
Trial 0 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 3, 'learning_rate': 0.001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 11 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 16, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 12 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 256, 'hidden_layers': 3, 'learning_rate': 1e-05, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 13 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 256, 'hidden_layers': 3, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 14 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 16, 'hidden_layers': 2, 'learning_rate': 0.0001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 15 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 64, 'hidden_layers': 1, 'learning_rate': 0.001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 16 finished with value: 0.9777777777777777 and parameters: {'batch_size': 32, 'neurons_per_layer': 16, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 17 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 2, 'learning_rate': 0.01, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 18 finished with value: 0.9777777777777777 and parameters: {'batch_size': 8, 'neurons_per_layer': 16, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 19 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 256, 'hidden_layers': 4, 'learning_rate': 0.0001, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 20 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 64, 'hidden_layers': 2, 'learning_rate': 1e-05, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 21 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 512, 'hidden_layers': 4, 'learning_rate': 0.001, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 22 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 16, 'hidden_layers': 2, 'learning_rate': 1e-05, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 23 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 64, 'hidden_layers': 3, 'learning_rate': 0.001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 24 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 128, 'hidden_layers': 2, 'learning_rate': 0.0001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 25 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 256, 'hidden_layers': 3, 'learning_rate': 0.001, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 26 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 32, 'hidden_layers': 4, 'learning_rate': 0.001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 27 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 64, 'hidden_layers': 3, 'learning_rate': 1e-05, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 28 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 32, 'hidden_layers': 4, 'learning_rate': 0.0001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 29 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 16, 'hidden_layers': 2, 'learning_rate': 0.001, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 30 finished with value: 0.9777777777777777 and parameters: {'batch_size': 32, 'neurons_per_layer': 16, 'hidden_layers': 3, 'learning_rate': 0.0001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 31 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 256, 'hidden_layers': 1, 'learning_rate': 0.01, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 32 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 64, 'hidden_layers': 4, 'learning_rate': 0.0001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 33 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 64, 'hidden_layers': 3, 'learning_rate': 0.0001, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 34 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 512, 'hidden_layers': 3, 'learning_rate': 1e-05, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 35 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 64, 'hidden_layers': 1, 'learning_rate': 0.0001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 36 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 16, 'hidden_layers': 1, 'learning_rate': 0.0001, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 37 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 512, 'hidden_layers': 1, 'learning_rate': 0.0001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 38 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 512, 'hidden_layers': 1, 'learning_rate': 0.0001, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 39 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 2, 'learning_rate': 0.0001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 40 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 512, 'hidden_layers': 2, 'learning_rate': 0.01, 'n_epochs': 50}. Best is trial 0 with value: 1.0.
Trial 41 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 64, 'hidden_layers': 1, 'learning_rate': 0.01, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 42 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 16, 'hidden_layers': 1, 'learning_rate': 1e-05, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
Trial 43 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 3, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 44 finished with value: 1.0 and parameters: {'batch_size': 8, 'neurons_per_layer': 128, 'hidden_layers': 3, 'learning_rate': 0.01, 'n_epochs': 10}. Best is trial 0 with value: 1.0.
Trial 45 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 64, 'hidden_layers': 2, 'learning_rate': 0.001, 'n_epochs': 100}. Best is trial 0 with value: 1.0.
Trial 46 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 64, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 47 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 32, 'hidden_layers': 4, 'learning_rate': 0.01, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 48 finished with value: 1.0 and parameters: {'batch_size': 32, 'neurons_per_layer': 256, 'hidden_layers': 4, 'learning_rate': 0.001, 'n_epochs': 30}. Best is trial 0 with value: 1.0.
Trial 49 finished with value: 1.0 and parameters: {'batch_size': 16, 'neurons_per_layer': 128, 'hidden_layers': 3, 'learning_rate': 0.001, 'n_epochs': 80}. Best is trial 0 with value: 1.0.
